CCAA,long,lat
Andalucía,-4.5000000,37.6000000
Aragón,-1.0000000,41.0000000
Asturias,-6.0000000,43.3333333
Baleares,2.4334717,39.2226789
Canarias,-15.5000000,28.0000000
Cantabria,-4.0000000,43.3333333
Castilla y León,-4.2500000,41.6666667
Castilla La Mancha,-3.0000000,39.5000000
Cataluña,1.8676758,41.8204551
C. Valenciana,-0.7500000,39.5000000
Extremadura,-6.0000000,39.0000000
Galicia,-7.8662109,42.7550796
La Rioja,-2.5000000,42.2500000
Madrid,-3.6906338,40.4252581
Murcia,-1.5000000,38.0000000
Navarra,-1.6666667,42.7500000
País Vasco,-2.7500000,43.0000000
Ceuta,-5.3213455,35.8893874
Melilla,-2.93833,35.29369
España,-4.0429688,39.7747695
